PMID,Title,Abstract,Authors,Journal,Year,Keywords,URL,Affiliations
23749111,UV radiation and the skin.,"UV radiation (UV) is classified as a ""complete carcinogen"" because it is both a mutagen and a non-specific damaging agent and has properties of both a tumor initiator and a tumor promoter. In environmental abundance, UV is the most important modifiable risk factor for skin cancer and many other environmentally-influenced skin disorders. However, UV also benefits human health by mediating natural synthesis of vitamin D and endorphins in the skin, therefore UV has complex and mixed effects on human health. Nonetheless, excessive exposure to UV carries profound health risks, including atrophy, pigmentary changes, wrinkling and malignancy. UV is epidemiologically and molecularly linked to the three most common types of skin cancer, basal cell carcinoma, squamous cell carcinoma and malignant melanoma, which together affect more than a million Americans annually. Genetic factors also influence risk of UV-mediated skin disease. Polymorphisms of the melanocortin 1 receptor (MC1R) gene, in particular, correlate with fairness of skin, UV sensitivity, and enhanced cancer risk. We are interested in developing UV-protective approaches based on a detailed understanding of molecular events that occur after UV exposure, focusing particularly on epidermal melanization and the role of the MC1R in genome maintenance.","D'Orazio John, Jarrett Stuart, Amaro-Ortiz Alexandra, Scott Timothy",International journal of molecular sciences,2013,"Animals, Humans, Melanins, Oxidative Stress, Skin, Skin Neoplasms, Skin Pigmentation, Ultraviolet Rays",https://pubmed.ncbi.nlm.nih.gov/23749111/,"Graduate Center for Toxicology and the Departments of Pediatrics, Biomedical and Molecular Pharmacology and Physiology, Markey Cancer Center, University of Kentucky College of Medicine, 800 Rose Street, Lexington, KY 40536, USA. jdorazio@uky.edu."
32249949,Germline mutations predisposing to melanoma.,"Nearly 15% of melanomas occur in patients with a family history and a subset of these patients have a germline mutation in a melanoma predisposing gene. CDKN2A mutations are responsible for the majority of hereditary melanoma, but many other susceptibility genes have been discovered in recent years, including CDK4, TERT, ACD, TERF2IP, POT1, MITF, MC1R, and BAP1. Additionally, melanoma risk is increased in mixed cancer syndromes caused by mutations in PTEN, BRCA2, BRCA1, RB1, and TP53. While early onset, multiple tumors, and family cancer history remain the most valuable clinical clues for hereditary melanoma, characteristic epithelioid cytology of melanocytic tumors may suggest an underlying BAP1 mutation. Herein, we review the clinical and histopathologic characteristics of melanocytic tumors associated with these germline mutations and discuss the role of genetic counseling.","Toussi Atrin, Mans Nicole, Welborn Jeanna, Kiuru Maija",Journal of cutaneous pathology,2020,"Adolescent, Adult, Aged, Aged, 80 and over, Cyclin-Dependent Kinase 4, Cyclin-Dependent Kinase Inhibitor p16, Genes, p16, Genetic Predisposition to Disease, Germ-Line Mutation, Humans, Melanoma, Microphthalmia-Associated Transcription Factor, Middle Aged, Nevus, Pigmented, Phenotype, Receptor, Melanocortin, Type 1, Shelterin Complex, Telomerase, Telomere-Binding Proteins, Tumor Suppressor Proteins, Ubiquitin Thiolesterase, Young Adult",https://pubmed.ncbi.nlm.nih.gov/32249949/,"Department of Dermatology, University of California, Davis, Sacramento, California, USA.; Hereditary Cancer Program, Comprehensive Cancer Center, University of California, Davis, Sacramento, California, USA."
29124692,Ultraviolet Radiations: Skin Defense-Damage Mechanism.,"UV-radiations are the invisible part of light spectra having a wavelength between visible rays and X-rays. Based on wavelength, UV rays are subdivided into UV-A (320-400 nm), UV-B (280-320 nm) and UV-C (200-280 nm). Ultraviolet rays can have both harmful and beneficial effects. UV-C has the property of ionization thus acting as a strong mutagen, which can cause immune-mediated disease and cancer in adverse cases. Numbers of genetic factors have been identified in human involved in inducing skin cancer from UV-radiations. Certain heredity diseases have been found susceptible to UV-induced skin cancer. UV radiations activate the cutaneous immune system, which led to an inflammatory response by different mechanisms. The first line of defense mechanism against UV radiation is melanin (an epidermal pigment), and UV absorbing pigment of skin, which dissipate UV radiation as heat. Cell surface death receptor (e.g. Fas) of keratinocytes responds to UV-induced injury and elicits apoptosis to avoid malignant transformation. In addition to the formation of photo-dimers in the genome, UV also can induce mutation by generating ROS and nucleotides are highly susceptible to these free radical injuries. Melanocortin 1 receptor (MC1R) has been known to be implicated in different UV-induced damages such as pigmentation, adaptive tanning, and skin cancer. UV-B induces the formation of pre-vitamin D3 in the epidermal layer of skin. UV-induced tans act as a photoprotection by providing a sun protection factor (SPF) of 3-4 and epidermal hyperplasia. There is a need to prevent the harmful effects and harness the useful effects of UV radiations.","Mohania Dheeraj, Chandel Shikha, Kumar Parveen, Verma Vivek, Digvijay Kumar, Tripathi Deepika, Choudhury Khushboo, Mitten Sandeep Kumar, Shah Dilip",Advances in experimental medicine and biology,2017,"Animals, Apoptosis, Cell Transformation, Neoplastic, Humans, Keratinocytes, Melanins, Melanoma, Mutagenesis, Neoplasms, Radiation-Induced, Radiodermatitis, Signal Transduction, Skin, Skin Neoplasms, Ultraviolet Rays, fas Receptor",https://pubmed.ncbi.nlm.nih.gov/29124692/,"Department of Neurology, PGIMER, Ram Manohar Lohia Hospital, New Delhi, India.; Department of Research, Sir Ganga Ram Hospital (SGRH), New Delhi, India.; Dr. B.R. Ambedkar Centre for Biomedical Research, University of Delhi, (North Campus), New Delhi, India.; Dr. Rajendra Prasad Centre for Ophthalmic Sciences, All India Institute of Medial Sciences (AIIMS), Ansari Nagar, New Delhi, India. dmohania@gmail.com.; Drexel University College of Medicine, Philadelphia, PA, USA."
38251461,Identifying actionable druggable targets for breast cancer: Mendelian randomization and population-based analyses.,"Drug repurposing provides a cost-effective approach to address the need for breast cancer prevention and therapeutics. We aimed to identify actionable druggable targets using Mendelian randomization (MR) and then validate the candidate drugs using population-based analyses. We identified genetic instruments for 1406 actionable targets of approved non-oncological drugs based on gene expression, DNA methylation, and protein expression quantitative trait loci (eQTL, mQTL, and pQTL, respectively). Genome-wide association study (GWAS) summary statistics were obtained from the Breast Cancer Association Consortium (122,977 cases, 105,974 controls). We further conducted a nested case-control study using data retrieved from Swedish registers to validate the candidate drugs that were identified from MR analyses. We identified six significant MR associations with gene expression levels (TUBB, MDM2, CSK, ULK3, MC1R and KCNN4) and two significant associations with gene methylation levels across 21 CpG islands (RPS23 and MAPT). Results from the nested case-control study showed that the use of raloxifene (targeting MAPT) was associated with 35% reduced breast cancer risk (odds ratio, OR, 0.65; 95% confidence interval, CI, 0.51-0.83). However, usage of estradiol, tolterodine, and nitrofurantoin (also targeting MAPT) was associated with increased breast cancer risk, with adjusted ORs and 95% CI of 1.10 (1.07-1.13), 1.16 (1.09-1.24), and 1.09 (1.05-1.13), respectively. The effect of raloxifene and nitrofurantoin lost significance in further validation analyses using active-comparator and new-user design. This large-scale MR analysis, combined with population-based validation, identified eight druggable target genes for breast cancer and suggested that raloxifene is an effective chemoprevention against breast cancer. Swedish Research Council, Cancerfonden, Crafoordska Stiftelsen, Allmänna Sjukhusets i Malmö Stiftelsen för bekämpande av cancer, 111 Project and MAS cancer.","Zhang Naiqi, Li Yanni, Sundquist Jan, Sundquist Kristina, Ji Jianguang",EBioMedicine,2023,"Humans, Female, Breast Neoplasms, Case-Control Studies, Genome-Wide Association Study, Mendelian Randomization Analysis, Nitrofurantoin, Raloxifene Hydrochloride",https://pubmed.ncbi.nlm.nih.gov/38251461/,"Center for Primary Health Care Research, Department of Clinical Sciences Malmö, Lund University, Sweden.; Center for Primary Health Care Research, Department of Clinical Sciences Malmö, Lund University, Sweden. Electronic address: naiqi.zhang@med.lu.se.; Center for Primary Health Care Research, Department of Clinical Sciences Malmö, Lund University, Sweden; Department of Family Medicine and Community Health, Department of Population Health Science and Policy, Icahn School of Medicine at Mount Sinai, New York, USA; Center for Community-based Healthcare Research and Education (CoHRE), Department of Functional Pathology, School of Medicine, Shimane University, Japan."
32346746,Melanoma Genomics.,"The incidence of cutaneous melanoma continues to increase in pale skinned peoples in Europe and elsewhere. Epidemiological studies identified genetically determined phenotypes such as pale skin, freckles and red hair, and sunburn as risk factors for this cancer. The development of many melanocytic naevi is also genetically determined and a strong melanoma risk phenotype. Not surprisingly then, genome wide association studies have identified pigmentation genes as common risk genes, and to a lesser extent, genes associated with melanocytic naevi. More unexpectedly, genes associated with telomere length have also been identified as risk genes. Higher risk susceptibility genes have been identified, particularly CDKN2A as the most common cause, and very rarely genes such as CDK4, POT1, TERT and other genes in coding for proteins in the shelterin complex are found to be mutated. Familial melanoma genes are associated with an increased number of melanocytic naevi but not invariably and the atypical naevus phenotype is therefore an imperfect marker of gene carrier status. At a somatic level, the most common driver mutation is BRAF, second most common NRAS, third NF1 and increasing numbers of additional rarer mutations are being identified such as in TP53. It is of note that the BRAF and NRAS mutations are not C>T accepted as characteristic of ultraviolet light induced mutations.","Newton-Bishop Julia, Bishop D Timothy, Harland Mark",Acta dermato-venereologica,2020,"Biomarkers, Tumor, Genetic Predisposition to Disease, Genomics, Heredity, Humans, Incidence, Melanoma, Mutation, Neoplasms, Radiation-Induced, Pedigree, Phenotype, Risk Assessment, Risk Factors, Skin Neoplasms, Sunlight, Telomere, Telomere Shortening, White People",https://pubmed.ncbi.nlm.nih.gov/32346746/,
22670867,Piebaldism.,"Piebaldism is an uncommon autosomal dominantly inherited pigment anomaly characterized by a congenital white forelock and leukoderma on the frontal scalp, forehead, ventral trunk and extremities. It is caused by a loss-of-function mutation in the KIT gene. Genetic analyses reveal a consistent genotype-phenotype relationship in piebaldism. However, recently reported cases of piebaldism that are milder or severer than genetically expected indicate that other factors, such as a modifier gene of MC1R, influence skin and hair color. The KIT ligand/KIT that triggers the Ras/mitogen-activated protein kinase signaling pathway play essential functions in the migration, proliferation, survival, melanogenesis and melanosome transfer of the melanocytes. We summarize current research progress in piebaldism and related disorders.","Oiso Naoki, Fukai Kazuyoshi, Kawada Akira, Suzuki Tamio",The Journal of dermatology,2013,"Diagnosis, Differential, Genes, Modifier, Genotype, Humans, Phenotype, Piebaldism, Proto-Oncogene Proteins c-kit",https://pubmed.ncbi.nlm.nih.gov/22670867/,"Department of Dermatology, Kinki University Faculty of Medicine, Osakasayama, Japan. naoiso@med.kindai.ac.jp"
30585306,The Melanocortin 1 receptor and its influence on naevi and melanoma in dark-skinned phenotypes.,"It is well appreciated that melanocortin 1 receptor variants can produce a fair skinned and red-haired phenotype that has a strong association with increased melanoma risk. These patients are easily recognised and given appropriate attention. What may not be appreciated is that darker-skinned individuals may also carry melanocortin 1 receptor variant alleles and that they can also be at increased risk of melanoma. Considering that melanocortin 1 receptor is crucial for melanocyte proliferation, regulation and differentiation do the naevi of these darker-skinned individuals have specific features that help identify them as carrying one of these melanocortin 1 receptor variants and do melanomas that develop in dark-skinned melanocortin 1 receptor variant carriers have particular characteristics?",Smith David John Mackay,The Australasian journal of dermatology,2019,"DNA Damage, DNA Repair, Genetic Predisposition to Disease, Genetic Variation, Hair Color, Humans, Melanoma, Nevus, Phenotype, Receptor, Melanocortin, Type 1, Skin Neoplasms, Skin Pigmentation, Ultraviolet Rays",https://pubmed.ncbi.nlm.nih.gov/30585306/,"University of Queensland, Brisbane, Queensland, Australia."
28259754,MC1R signaling. Intracellular partners and pathophysiological implications.,"The melanocortin-1 receptor (MC1R) preferentially expressed in melanocytes is best known as a key regulator of the synthesis of epidermal melanin pigments. Its paracrine stimulation by keratinocyte-derived melanocortins also activates DNA repair pathways and antioxidant defenses to build a complex, multifaceted photoprotective response. Many MC1R actions rely on cAMP-dependent activation of two transcription factors, MITF and PGC1α, but pleiotropic MC1R signaling also involves activation of mitogen-activated kinases and AKT. MC1R partners such as β-arrestins, PTEN and the E3 ubiquitin ligase MGRN1 differentially regulate these pathways. The MC1R gene is complex and polymorphic, with frequent variants associated with skin phenotypes and increased cancer risk. We review current knowledge of signaling from canonical MC1R, its splice isoforms and natural polymorphic variants. Recently discovered intracellular targets and partners are also discussed, to highlight the diversity of mechanisms that may contribute to normal and pathological variation of pigmentation and sensitivity to solar radiation-induced damage. This article is part of a Special Issue entitled: Melanocortin Receptors - edited by Ya-Xiong Tao.","Herraiz Cecilia, Garcia-Borron Jose C, Jiménez-Cervantes Celia, Olivares Conchi",Biochimica et biophysica acta. Molecular basis of disease,2017,"Animals, DNA Repair, Humans, Melanocytes, Melanoma, Polymorphism, Genetic, Protein Interaction Maps, Receptor, Melanocortin, Type 1, Signal Transduction",https://pubmed.ncbi.nlm.nih.gov/28259754/,"Department of Biochemistry and Molecular Biology, School of Medicine, University of Murcia and Instituto Murciano de Investigación Biosanitaria (IMIB), 30120 El Palmar, Murcia, Spain.; Department of Biochemistry and Molecular Biology, School of Medicine, University of Murcia and Instituto Murciano de Investigación Biosanitaria (IMIB), 30120 El Palmar, Murcia, Spain. Electronic address: gborron@um.es."
28024137,[Secrets of the red-headed].,"Only 1-2% of people is red-headed but in the Russian Udmurt Republic or United Kingdom they can be met more often. A specific variant of MC1R gene (R allele) is responsible for the red hair. The gene encodes a receptor for melanocortins. These substances stimulate melanocytes to product melanin- a dye of the skin which is transported to keratinocytes. It protects a cellular nucleus from ultraviolet radiation. Melanin has two types: eumelanin which is dark brown or even black and red/orange pheomelanin. The second one is mostly observed in red-headed which is caused by R allele. The DNA damage occurs more easily because of worse protecting ability of pheomelanin. Moreover this allele is connected with inefficient DNA repair. People with R allele have not only flaming red hairstyle but also very fair skin (often with freckles) and blue eyes. Unfortunately this phenotype is more exposed to harmful effects of UV rays. It means that too extensive exposition to solar light leads to sunburn and development of cancerous skin diseases with melanoma as the worst. R allele is a recessive variant of the gene so only in homozygous persons this characteristic phenotype is observed. Nevertheless blond- or auburn-haired carriers of this allele are also more prone to develop carcinomas. The red-headed also differ from the others in sensitivity to anaesthetics, what is shown by increased MAC. On the other hand these persons less often suffer from vitamin D deficiency. The aim of the article is to present facts and myths of red-headed.","Zdrojewicz Zygmunt, Kowalik Małgorzata, Jagodziński Adam",Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,2016,"Alleles, Eye Color, Genetic Predisposition to Disease, Hair Color, Humans, Melanins, Receptor, Melanocortin, Type 1, Skin Neoplasms, Ultraviolet Rays",https://pubmed.ncbi.nlm.nih.gov/28024137/,"Medical University of Wrocław Poland: Faculty of Postgraduate Medical Training, Department and Clinic of Endocrinology, Diabetology and Isotope Therapy, Faculty of Medicine.; Medical University of Wrocław Poland: Students of Medical Faculty."
28463841,Skin Pigmentation Genetics for the Clinic.,"Human pigmentation characteristics play an important role in the effects of sun exposure, skin cancer induction and disease outcomes. Several of the genes most important for this diversity are involved in the regulation and distribution of melanin pigmentation or enzymes involved in melanogenesis itself within the melanocyte cell present in the skin, hair and eyes. The single nucleotide polymorphisms and extended haplotypes within or surrounding these genes have been identified as risk factors for skin cancer, in particular, melanoma. These same polymorphisms have been under selective pressure leading towards lighter pigmentation in Europeans in the last 5,000-20,000 years that have driven the increase in frequency in modern populations. Although pigmentation is a polygenic trait, due to interactive and quantitative gene effects, strong phenotypic associations are readily apparent for these major genes. However, predictive value and utility are increased when considering gene polymorphism interactions. In melanoma, an increased penetrance is found in cases when pigmentation gene risk alleles such as MC1R variants are coincident with mutation of higher-risk melanoma genes including CDKN2A, CDK4 and MITF E318K, demonstrating an interface between the pathways for pigmentation, naevogenesis and melanoma. The clinical phenotypes associated with germline changes in pigmentation and naevogenic genes must be understood by clinicians, and will be of increasing relevance to dermatologists, as genomics is incorporated into the delivery of personalised medicine.","Ainger Stephen A, Jagirdar Kasturee, Lee Katie J, Soyer H Peter, Sturm Richard A","Dermatology (Basel, Switzerland)",2017,"Agouti Signaling Protein, Albinism, Antigens, Neoplasm, Antiporters, Biological Evolution, Cyclin-Dependent Kinase 4, Cyclin-Dependent Kinase Inhibitor p16, Cyclin-Dependent Kinase Inhibitor p18, Group VI Phospholipases A2, Hair Color, Humans, Interferon Regulatory Factors, Intramolecular Oxidoreductases, Melanoma, Membrane Glycoproteins, Membrane Transport Proteins, Microphthalmia-Associated Transcription Factor, Monophenol Monooxygenase, Nevus, Oxidoreductases, Polymorphism, Single Nucleotide, Purine-Nucleoside Phosphorylase, Receptor, Melanocortin, Type 1, Skin Neoplasms, Skin Pigmentation, Stem Cell Factor",https://pubmed.ncbi.nlm.nih.gov/28463841/,"Dermatology Research Centre, The University of Queensland, Diamantina Institute, Translational Research Institute, Brisbane, QLD, Australia."
