PMID,Title,Abstract,Authors,Journal,Year,Keywords,URL,Affiliations
29086472,Dermatological and environmental toxicological impact of the sunscreen ingredient oxybenzone/benzophenone-3.,"Oxybenzone (Benzophenone-3) is an emerging human and environmental contaminant used in sunscreens and personal care products to help minimize the damaging effects of ultraviolet radiation. The Center for Disease Control fourth national report on human exposure to environmental chemicals demonstrated that approximately 97% of the people tested have oxybenzone present in their urine, and independent scientists have reported various concentrations in waterways and fish worldwide. Oxybenzone can also react with chlorine, producing hazardous by-products that can concentrate in swimming pools and wastewater treatment plants. Moreover, adverse reactions could very well be increased by the closed loop of ingesting fish contaminated with oxybenzone and/or washing the ingredient off our bodies and having it return in drinking water as treatment plants do not effectively remove the chemical as part of their processing protocols. In humans, oxybenzone has been reported to produce contact and photocontact allergy reactions, implemented as a possible endocrine disruptor and has been linked to Hirschsprung's disease. Environmentally, oxybenzone has been shown to produce a variety of toxic reactions in coral and fish ranging from reef bleaching to mortality. Lastly, with the rise in skin cancer rates and the availability of more effective sunscreen actives such as micronized zinc oxide and titanium dioxide, serious doubts about the relative prevention benefit of personal care products containing oxybenzone must be raised and compared with the potential negative health and environmental effects caused by the accumulation of this and other chemicals in the ecosystem.","DiNardo Joseph C, Downs Craig A",Journal of cosmetic dermatology,2018,"Animals, Benzophenones, Dermatitis, Irritant, Environmental Pollutants, Humans, Patch Tests, Risk Assessment, Sensitivity and Specificity, Skin Irritancy Tests, Skin Neoplasms, Sunburn, Sunscreening Agents, Ultraviolet Rays",https://pubmed.ncbi.nlm.nih.gov/29086472/,"Haereticus Environmental Laboratory, Clifford, VA, USA.; Research Scientist Emeritus, Vesuvius, VA, USA."
36805158,Benzophenone-3: Comprehensive review of the toxicological and human evidence with meta-analysis of human biomonitoring studies.,"Benzophenone-3 (BP-3) and its major metabolite benzophenone-1 (BP-1) are widely used as UV filters in sunscreens and cosmetics to prevent sunburn and skin damage, or as stabilizers to prevent photodegradation in many commercial products. As a result, their presence is ubiquitous in the environment, wildlife and humans. Based on endocrine disruption concerns, international regulatory agencies are performing a closer evaluation. This work aimed to comprehensively review the available human relevant evidence for safety issues in MEDLINE/PubMed in order to create a structured database of studies, as well as to conduct an integrative analysis as part of the Human Biomonitoring for Europe (HBM4EU) Initiative. A total of 1,635 titles and abstracts were screened and 254 references were evaluated and tabulated in detail, and classified in different categories: i) exposure sources and predictors; ii) human biomonitoring (HBM) exposure levels to perform a meta-analysis; iii) toxicokinetic data in both experimental animals and humans; iv) in vitro and in vivo rodent toxicity studies; and v) human data on effect biomarkers and health outcomes. Our integrative analysis showed that internal peak BP-3 concentrations achieved after a single whole-body application of a commercially available sunscreen (4% w/w) may overlap with concentrations eliciting endocrine disrupting effects in vitro, and with internal concentrations causing in vivo adverse female reproductive effects in rodents that were supported by still limited human data. The adverse effects in rodents included prolonged estrous cycle, altered uterine estrogen receptor gene expression, endometrium hyperplasia and altered proliferation and histology of the mammary gland, while human data indicated menstrual cycle hormonal alterations and increased risk of uterine fibroids and endometriosis. Among the modes of action reported (estrogenic, anti-androgenic, thyroid, etc.), BP-3 and especially BP-1 showed estrogenic activity at human-relevant concentrations, in agreement with the observed alterations in female reproductive endpoints. The meta-analysis of HBM studies identified a higher concern for North Americans, showing urinary BP-3 concentrations on average 10 and 20 times higher than European and Asian populations, respectively. Our work supports that these benzophenones present endocrine disrupting properties, endorsing recent European regulatory efforts to limit human exposure. The reproducible and comprehensive database generated may constitute a point of departure in future risk assessments to support regulatory initiatives. Meanwhile, individuals should not refrain from sunscreen use. Commercially available formulations using inorganic UV filters that are practically not absorbed into systemic circulation may be recommended to susceptible populations.","Mustieles Vicente, Balogh Ria K, Axelstad Marta, Montazeri Parisa, Márquez Sandra, Vrijheid Martine, Draskau Monica K, Taxvig Camilla, Peinado Francisco M, Berman Tamar, Frederiksen Hanne, Fernández Mariana F, Marie Vinggaard Anne, Andersson Anna-Maria",Environment international,2023,"Animals, Humans, Female, Sunscreening Agents, Biological Monitoring, Benzophenones, Cosmetics",https://pubmed.ncbi.nlm.nih.gov/36805158/,"CIBER de Epidemiología y Salud Pública (CIBERESP), Spain; ISGlobal, Barcelona, Spain; Universitat Pompeu Fabra (UPF), Barcelona, Spain.; Department of Environmental Health, Ministry of Health, Jerusalem 9101002, Israel.; Department of Growth and Reproduction, Copenhagen University Hospital - Rigshospitalet, Copenhagen, Denmark; International Center for Research and Research Training in Endocrine Disruption of Male Reproduction and Child Health (EDMaRC), Copenhagen University Hospital - Rigshospitalet, Copenhagen, Denmark.; National Food Institute, Technical University of Denmark, Kgs. Lyngby, Denmark.; University of Granada, Biomedical Research Center (CIBM), Granada, Spain; Instituto de Investigación Biosanitaria (ibs. GRANADA), Granada, Spain.; University of Granada, Biomedical Research Center (CIBM), Granada, Spain; Instituto de Investigación Biosanitaria (ibs. GRANADA), Granada, Spain; CIBER de Epidemiología y Salud Pública (CIBERESP), Spain. Electronic address: marieta@ugr.es.; University of Granada, Biomedical Research Center (CIBM), Granada, Spain; Instituto de Investigación Biosanitaria (ibs. GRANADA), Granada, Spain; CIBER de Epidemiología y Salud Pública (CIBERESP), Spain. Electronic address: vmustieles@ugr.es."
31041411,Skin safety and health prevention: an overview of chemicals in cosmetic products.,"Cosmetic products contain a wide range of chemicals to which we are exposed every day. The aim of the study was to determine the presence of potential dangerous substances which can cause adverse health effects by examining product labels. A total of 283 products were collected from various shops in Lecce (Italy) and divided into 3 categories: rinse-off, leave-on and make-up. The label of every product was examined and a list including fragrances, preservatives and other chemicals of concern was created. Fragrances were present in 52.3% of the examined products, mostly limonene (76.9%) and linalool (64.6%) but also citronellol (34.1%), geraniol (31.5%), coumarin (30%) and hexyl cinnamal (29.2%). Preservatives showed a rate of 60% and the most frequently identified were phenoxyethanol (48.7%), sodium benzoate (35.6%), potassium sorbate (22%), methylparaben (15.2%) and MI/MCI (9.9%). The other chemicals of concern were detected in 58% of products; included PEGs (62.3%), acrylate copolymer (34%), petrolatum (17.2%), polysorbates (14,8%), BHT (14.7%), ethylhextyl methoxycinnamate (13.6%), benzophenone-1 (3.7%), benzophenone-3 (4.9%), BHA (1.6%), cocamide DEA and toluene (1.2%). The use of many of these substances is allowed within certain limits, due to their toxicity at higher concentrations. Other important aspects should be considered as, for instance, the possibility of long-term effects. On the other hand, other substances may induce several acute adverse side-effects, i.e. contact dermatitis and allergic reactions. For these reasons, an enhancement of the criteria used for cosmetics formulation is required since many chemicals used singularly or combined are potentially unsafe.","Panico A, Serio F, Bagordo F, Grassi T, Idolo A, DE Giorgi M, Guido M, Congedo M, DE Donno A",Journal of preventive medicine and hygiene,2019,"Allergens, Cosmetics, Humans, Odorants, Preservatives, Pharmaceutical, Skin Diseases",https://pubmed.ncbi.nlm.nih.gov/31041411/,"Department of Biological and Environmental Science and Technology, University of Salento, Lecce, Italy.; Operating Unit of Dermatology, Vito Fazzi Hospital, Lecce, Italy."
28844799,Exposure to benzophenone-3 and reproductive toxicity: A systematic review of human and animal studies.,"Hydroxy-4-methoxybenzophenone, also known as benzophenone-3 (BP-3), is a commonly used ultraviolet filter in skincare and as a food additive. Large concentrations of similar phenolic compounds have been detected in urine, amniotic fluid, and placental tissue, thereby raising questions about its impact on reproduction. The objective of this paper was to investigate the reproductive toxicity of BP-3 in humans and animals. In humans, studies showed that high levels of BP-3 exposure could be linked to an increase in male birth weight but a decline in female birth weight and male gestational age. In fish, BP-3 exposure resulted in a decline in egg production, hatching, and testosterone, along with a down-regulation of steroidogenic genes. In rats, a decrease in epididymal sperm density and a prolonged estrous cycle for females was observed. These positive associations may be attributed to an altered estrogen and testosterone balance as a result of endocrine disrupting effects of BP-3. However, the current body of literature is limited by non-uniform exposure and outcome measurements in studies both across and within species and future studies will need to be conducted in a standardized fashion to allow for a more significant contribution to the literature that allows for better comparison across studies.","Ghazipura Marya, McGowan Richard, Arslan Alan, Hossain Tanzib","Reproductive toxicology (Elmsford, N.Y.)",2017,"Animals, Benzophenones, Endocrine Disruptors, Humans, Reproduction, Sunscreening Agents",https://pubmed.ncbi.nlm.nih.gov/28844799/,"NYU Health Sciences Library, NYU Langone Medical Center, New York, NY, United States.; NYU School of Medicine Department of Pulmonary, Critical Care, and Sleep Medicine, New York, NY, United States.; NYU School of Medicine, Departments of Obstetrics and Gynecology, Population Health, and Environmental Medicine, New York, NY, United States.; New York University (NYU) School of Medicine, NYU Langone Medical Center, New York, NY, United States. Electronic address: mg4136@nyu.edu."
36209923,Associations between benzophenone-3 and sex steroid hormones among United States adult men.,"It has been demonstrated that benzophenone-3 is one of the endocrine-disrupting compounds which are considered as potential risk factors of adverse health effects. However, whether benzophenone-3 exposure can influence the sex steroid hormones levels remains unknown. We used data from the National Health and Nutrition Examination Survey, which is a cross-sectional dataset, from 2013 to 2016. A total of 1690 male US participants aged 18 or above were included. Urinary benzophenone-3, serum total testosterone, serum estradiol, serum sex hormone-binding globulin were measured. Confounders including age, body mass index, race, education level, urinary creatinine, ratio of family income to poverty, alcohol use, time of venipuncture, cardiac arterial diabetic score, energy intake, bisphenol A, triclosan and total parabens were controlled. After full adjustment (Model III), the upper benzophenone-3 quintiles had odds ratios (95 % confidence intervals) of testosterone deficiency of 1.75 (1.03, 2.99), 2.47 (1.53, 3.98), 2.08 (1.13, 3.84) and 1.74 (0.94, 3.23) compared with quintile 1. Compared with quintile 1, percent changes (95 % confidence intervals) in testosterone were - 12 % (-19 %, -5 %) and - 9 % (-17 %, -1 %) for quintile 3 and quintile 5 in Model III. Estradiol and sex hormone-binding globulin were generally similar to total testosterone in the associations with benzophenone-3. In conclusion, our results demonstrated that adult men in the US with higher urinary benzophenone-3 had a higher risk of testosterone deficiency and had inverse associations with total testosterone, estradiol and sex hormone-binding globulin. To confirm the causal links between benzophenone-3 and sex steroid hormones, prospective studies are needed.","Tao Zhijun, Wang Zhongyuan, Zhu Shenhao, Wang Shangqian, Wang Zengjun","Reproductive toxicology (Elmsford, N.Y.)",2022,"Adult, Humans, Male, Cross-Sectional Studies, Estradiol, Gonadal Steroid Hormones, Nutrition Surveys, Sex Hormone-Binding Globulin, Testosterone, United States, Endocrine Disruptors, Benzophenones",https://pubmed.ncbi.nlm.nih.gov/36209923/,"Department of Urology, First Affiliated Hospital of Nanjing Medical University, No.300, Guangzhou Street, Nanjing, Jiangsu Province 210029, China.; Department of Urology, First Affiliated Hospital of Nanjing Medical University, No.300, Guangzhou Street, Nanjing, Jiangsu Province 210029, China. Electronic address: taotao981022@126.com.; Department of Urology, First Affiliated Hospital of Nanjing Medical University, No.300, Guangzhou Street, Nanjing, Jiangsu Province 210029, China. Electronic address: wsq5501@126.com.; Department of Urology, First Affiliated Hospital of Nanjing Medical University, No.300, Guangzhou Street, Nanjing, Jiangsu Province 210029, China. Electronic address: zengjunwang@njmu.edu.cn."
32490822,Prenatal Exposure to Endocrine-Disrupting Chemicals and Asthma and Allergic Diseases.,"Endocrine-disrupting chemicals (EDCs) interfere with endogenous hormones and are present in many consumer products. In addition, they affect the development and functions of the immune system. The prenatal period is critical, because exposure to EDCs can induce irreversible changes in the immune system and increase susceptibility to asthma and allergies later in life. Nonpersistent EDCs are of most concern owing to their high annual production and potential toxicity. In this review, we summarize the literature on the effects of prenatal exposure to nonpersistent EDCs-phthalates and phenols-on asthma and allergic diseases, describe the underlying biological mechanisms, and make recommendations. Between 2011 and 2020, a total of 19 prospective studies were published. Most of these were focused on phthalates and bisphenol A and few on other bisphenols, parabens, triclosan, and benzophenone-3. Evidence remains insufficient owing to differences in chemical use between countries, sociodemographic characteristics of the study populations, misclassification of exposure due to the high within-subject variability, and heterogeneity in the definition of health outcomes. EDCs can alter airway cell differentiation and gut microbiota, shift the immune response towards TH2, alter expression of T regulatory cells and TH17, and weaken innate immunity. In order to better understand the burden of EDCs on the respiratory and immune systems, we require thoughtfully designed studies to assess exposure, appropriately characterize asthma and allergic phenotypes, and evaluate biological mechanisms and EDC mixtures.","Casas Maribel, Gascon M",Journal of investigational allergology & clinical immunology,2020,"Asthma, Endocrine Disruptors, Environmental Exposure, Female, Humans, Hypersensitivity, Immunity, Innate, Pregnancy, Prenatal Exposure Delayed Effects, Th2 Cells",https://pubmed.ncbi.nlm.nih.gov/32490822/,"ISGlobal, Barcelona, Spain."
30484882,Sunscreen bans: Coral reefs and skin cancer.,"Hawaii will ban two major ingredients of sunscreens. This article reviews the reasons and future directions. Hawaii recently enacted legislation that will ban the use of two major ingredients of the majority of commonly used sunscreens. The reason for the ban is the ingredients' putative deleterious impact on marine ecosystems, particularly coral reefs. But sunscreens also save lives by decreasing the risk of UV-induced skin cancers. We review both sides of the issue and potential implications for the healthcare system. Coral reefs consist of organisms in delicate equilibria that are susceptible to small changes in their surroundings. Recent natural and man-made disruptions, direct or indirect, such as changes in ocean temperature and chemistry, ingress of invasive species, pathogens, pollution and deleterious fishing practices, have been blamed for the poor health, or even the outright destruction, of some coral reefs. The most popular sunscreen products contain two ingredients-oxybenzone and octinoxate-that have also been implicated in coral toxicity and will be banned. This creates a healthcare dilemma: Will the protection of coral reefs result in an increase in human skin cancers? Concentration estimates and mechanism studies support an association-direct or indirect (via promotion of viral infection)-of sunscreens with bleaching of coral reefs. A ban on the two most common sunscreen ingredients goes into effect in Hawaii on January 1, 2021. Proponents suggest that this is a trend, just the first of many such bans worldwide; opponents warn of a dire increase in human skin cancers. As a result, alternative sunscreen compounds are being sought.","Raffa Robert B, Pergolizzi Joseph V, Taylor Robert, Kitzen Jan M, ",Journal of clinical pharmacy and therapeutics,2019,"Animals, Anthozoa, Benzophenones, Cinnamates, Consumer Product Safety, Coral Reefs, Hawaii, Humans, Skin Neoplasms, Sunscreening Agents",https://pubmed.ncbi.nlm.nih.gov/30484882/,"Kitzen Pharmaceutical Consulting, Collegeville, Pennsylvania.; NEMA Research, Inc., Naples, Florida.; Neumentum, Inc., Palo Alto, California.; University of Arizona College of Pharmacy, Tucson, Arizona."
29615064,Childhood and adolescent phenol and phthalate exposure and the age of menarche in Latina girls.,"The age of menarche has been associated with metabolic and cardiovascular disease, as well as cancer risk. The decline in menarcheal age over the past century may be partially attributable to increased exposure to endocrine disrupting chemicals (EDCs). We assessed the influence of 26 phenol and phthalate biomarkers on the timing of menarche in a longitudinal cohort of Chilean girls. These EDCs were quantified in urine collected prior to the onset of breast development (Tanner 1; B1), and during adolescence (Tanner 4; B4). Multivariable accelerated failure time (AFT) models were used to analyze associations between biomarker concentrations and the age of menarche adjusting for body mass index (BMI) Z-score and maternal education, accounting for within-subject correlation. Several biomarkers were significantly associated with the age at menarche; however, these associations were dependent on the timing of biomarker assessment. A log(ng/ml) increase in B1 concentrations of di(2-ethylhexyl) phthalate biomarkers was associated with later menarche (hazard ratio (HR): 0.77; 95% CI: 0.60, 0.98), whereas higher B1 concentrations of 2,5-dichlorophenol and benzophenone-3 were associated with earlier menarche (HR: 1.13; 95% CI: 1.01, 1.27; HR: 1.17; 95% CI: 1.06, 1.29, respectively). Elevated B4 concentrations of monomethyl phthalate were similarly associated with earlier menarche (HR: 1.30; 95% CI: 1.10, 1.53). The impact of monoethyl phthalate and triclosan concentrations on pubertal timing were significantly modified by BMI Z-score. Higher monoethyl phthalate and triclosan concentrations were associated with earlier menarche among overweight or obese girls, but not among those that were normal weight. This study identifies modulation of sexual maturation by specific EDC biomarkers in Latina girls.","Binder Alexandra M, Corvalan Camila, Calafat Antonia M, Ye Xiaoyun, Mericq Verónica, Pereira Ana, Michels Karin B",Environmental health : a global access science source,2018,"Adolescent, Age Factors, Child, Chile, Endocrine Disruptors, Environmental Exposure, Environmental Pollutants, Humans, Longitudinal Studies, Menarche, Phenols, Phthalic Acids, Sexual Maturation",https://pubmed.ncbi.nlm.nih.gov/29615064/,"Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, CA, USA.; Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, CA, USA. k.michels@ucla.edu.; Division of Laboratory Sciences, National Center for Environmental Health, Centers for Disease Control and Prevention, Atlanta, GA, USA.; Institute of Maternal and Child Research, University of Chile, Santiago, Chile.; Institute of Nutrition and Food Technology, University of Chile, Santiago, Chile."
29156601,Acute Toxicity and Ecological Risk Assessment of Benzophenone-3 (BP-3) and Benzophenone-4 (BP-4) in Ultraviolet (UV)-Filters.,"Ultraviolet (UV)-absorbing chemicals (UV filters) are used in personal care products for the protection of human skin and hair from damage by UV radiation. Although these substances are released into the environment in the production and consumption processes, little is known about their ecotoxicology effects. The acute toxicity and potential ecological risk of UV filters benzophenone-3 (BP-3) and benzophenone-4 (BP-4) on <i>Chlorella vulgaris</i>, <i>Daphnia magna</i>, and <i>Brachydanio rerio</i> were analyzed in the present study. The EC<sub>50</sub> values (96 h) of BP-3 and BP-4 on <i>C. vulgaris</i> were 2.98 and 201.00 mg/L, respectively. The 48 h-LC<sub>50</sub> of BP-3 and BP-4 on <i>D. magna</i> were 1.09 and 47.47 mg/L, respectively. The 96 h-LC<sub>50</sub> of BP-3 and BP-4 on <i>B. rerio</i> were 3.89 and 633.00 mg/L, respectively. The toxicity of a mixture of BP-3 and BP-4 on <i>C. vulgaris</i>, <i>D. magna</i>, and <i>B. rerio</i> all showed antagonistic effects. The induced predicted no-effect concentrations of BP-3 and BP-4 by the assessment factor method were 1.80 × 10<sup>-3</sup> and 0.47 mg/L, respectively, by assessment factor (AF) method, which were both lower than the concentrations detected in the environment at present, verifying that BP-3 and BP-4 remain low-risk chemicals to the aquatic ecosystem.","Du Yang, Wang Wen-Qian, Pei Zhou-Tao, Ahmad Fahmi, Xu Rou-Rou, Zhang Yi-Min, Sun Li-Wei",International journal of environmental research and public health,2017,"Animals, Benzophenones, Chlorella vulgaris, Daphnia, Ecotoxicology, Environmental Monitoring, Humans, Risk Assessment, Sunscreening Agents, Ultraviolet Rays, Water Pollutants, Chemical, Zebrafish, Zebrafish Proteins",https://pubmed.ncbi.nlm.nih.gov/29156601/,"Research Center of Watershed Ecological Conservation and Water Pollution Control, Nanjing Institute of Environmental Sciences, Ministry of Environmental Protection of the People's Republic of China, Nanjing 210042, China. zym@nies.org.; School of Energy & Environment, Southeast University, Nanjing 210042, China. 220150552@seu.edu.cn.; School of Energy & Environment, Southeast University, Nanjing 210042, China. 220160595@seu.edu.cn.; School of Energy & Environment, Southeast University, Nanjing 210042, China. 220170623@seu.edu.cn.; School of Energy & Environment, Southeast University, Nanjing 210042, China. ahmad.fahmi@rocketmail.com.; School of Energy & Environment, Southeast University, Nanjing 210042, China. liwei-sun@seu.edu.cn.; School of Energy & Environment, Southeast University, Nanjing 210042, China. zt746603025@gmail.com."
36346334,Urinary phenol concentrations and fecundability and early pregnancy loss.,"Are urinary phenol concentrations of methylparaben, propylparaben, butylparaben, triclosan, benzophenone-3, 2,4-dichlorophenol or 2,5-dichlorophenol associated with fecundability and early pregnancy loss? 2,5-dichlorophenol concentrations were associated with an increased odds of early pregnancy loss, and higher concentrations of butylparaben and triclosan were associated with an increase in fecundability. Phenols are chemicals with endocrine-disrupting potential found in everyday products. Despite plausible mechanisms of phenol reproductive toxicity, there are inconsistent results across few epidemiologic studies examining phenol exposure and reproductive function in non-fertility treatment populations. Specimens and data were from the North Carolina Early Pregnancy Study prospective cohort of 221 women attempting to conceive naturally from 1982 to 1986. This analysis includes data from 221 participants across 706 menstrual cycles, with 135 live births, 15 clinical miscarriages and 48 early pregnancy losses (before 42 days after the last menstrual period). Participants collected daily first-morning urine specimens. For each menstrual cycle, aliquots from three daily specimens across the cycle were pooled within individuals and analyzed for phenol concentrations. To assess sample repeatability, we calculated intraclass correlation coefficients (ICCs) for each phenol. We evaluated associations between phenol concentrations from pooled samples and time to pregnancy using discrete-time logistic regression and generalized estimating equations (GEE), and early pregnancy loss using multivariable logistic regression and GEE. ICCs for within-person variability across menstrual cycles in pooled phenol concentrations ranged from 0.42 to 0.75. There was an increased odds of early pregnancy loss with 2,5-dichlorophenol concentrations although the CIs were wide (5th vs 1st quintile odds ratio (OR): 4.79; 95% CI: 1.06, 21.59). There was an increased per-cycle odds of conception at higher concentrations of butylparaben (OR: 1.62; 95% CI: 1.08, 2.44) and triclosan (OR: 1.49; 95% CI: 0.99, 2.26) compared to non-detectable concentrations. No associations were observed between these endpoints and concentrations of other phenols examined. Limitations include the absence of phenol measurements for male partners and a limited sample size, especially for the outcome of early pregnancy loss, which reduced our power to detect associations. This study is the first to use repeated pooled measures to summarize phenol exposure and the first to investigate associations with fecundability and early pregnancy loss. Within-person phenol concentration variability underscores the importance of collecting repeated samples for future studies. Exposure misclassification could contribute to differences between the findings of this study and those of other studies, all of which used one urine sample to assess phenol exposure. This study also contributes to the limited literature probing potential associations between environmental exposures and early pregnancy loss, which is a challenging outcome to study as it typically occurs before a pregnancy is clinically recognized. This research was supported by the National Institute of Environmental Health Sciences of the National Institutes of Health (award number F31ES030594), the Intramural Research Program of the National Institutes of Health, the National Institute of Environmental Health Sciences (project numbers ES103333 and ES103086) and a doctoral fellowship at the Yale School of Public Health. The authors declare they have no competing interests to disclose. N/A.","Rosen Vollmar Ana K, Weinberg Clarice R, Baird Donna D, Wilcox Allen J, Calafat Antonia M, Deziel Nicole C, Johnson Caroline H, Jukic Anne Marie Z","Human reproduction (Oxford, England)",2023,"Pregnancy, Male, Humans, Female, Abortion, Spontaneous, Phenol, Prospective Studies, Triclosan, Fertility, Phenols",https://pubmed.ncbi.nlm.nih.gov/36346334/,"Biostatistics & Computational Biology Branch, National Institute of Environmental Health Sciences, Research Triangle, NC, USA.; Environmental Health Sciences, Yale School of Public Health, New Haven, CT, USA.; Epidemiology Branch, National Institute of Environmental Health Sciences, Research Triangle, NC, USA.; Organic Analytical Toxicology Branch, National Center for Environmental Health, Centers for Disease Control and Prevention, Atlanta, GA, USA."
